english_word|false_meaning|real_meaning|russian_word|exportedAt|status|knownAt|s1|s2|s3
accurate|аккуратный|точный|точный (аккуратный = neat/tidy)|2026-04-02|learning||The data must be **accurate**.|Her report was very **accurate**.|Is this information **accurate**?
actual|актуальный|фактический; настоящий|фактический (актуальный = current/relevant)|2026-04-02|known|2026-04-09|The **actual** cost was higher than expected.|What's the **actual** reason?|In **actual** fact, she was right.
magazine|магазин|журнал|журнал (магазин = shop/store)|2026-04-02|learning||She reads a fashion **magazine** every week.|I bought a **magazine** at the airport.|There's an interesting article in this **magazine**.
fabric|фабрика|ткань|ткань (фабрика = factory)|2026-04-02|learning||The dress is made of silk **fabric**.|This **fabric** is very soft.|What kind of **fabric** is this shirt?
prospect|проспект|перспектива; возможность|перспектива (проспект = avenue/boulevard)|2026-04-02|learning||The job **prospects** are good in this field.|There's a **prospect** of promotion.|The **prospect** of moving excited her.
sympathy|симпатия|сочувствие; сострадание|сочувствие (симпатия = liking/attraction)|2026-04-02|learning||She showed great **sympathy** for the victims.|I have no **sympathy** for cheaters.|He expressed his **sympathy** after the loss.
intelligent|интеллигентный|умный|умный (интеллигентный = cultured/refined)|2026-04-02|learning||She's a very **intelligent** woman.|The child is **intelligent** beyond his years.|That was an **intelligent** answer.
cabinet|кабинет|шкафчик; кабинет министров|шкафчик (кабинет = office/study)|2026-04-02|learning||Put the cups in the **cabinet**.|The medicine is in the bathroom **cabinet**.|The **cabinet** met to discuss the budget.
camera|камера|фотоаппарат|фотоаппарат (камера = cell/chamber)|2026-04-02|learning||I forgot my **camera** at home.|She bought a new digital **camera**.|The **camera** takes great photos.
data|дата|данные|данные (дата = date)|2026-04-02|known|2026-04-09|The **data** shows a clear trend.|We need more **data** to be sure.|The company collects customer **data**.
genial|гениальный|приветливый; добродушный|приветливый (гениальный = genius/brilliant)|2026-04-02|learning||He's a very **genial** man.|She gave us a **genial** smile.|The host was warm and **genial**.
complexion|комплекция|цвет лица|цвет лица (комплекция = build/physique)|2026-04-02|learning||She has a beautiful **complexion**.|The cream improves your **complexion**.|His **complexion** was pale after the illness.
conductor|кондуктор|дирижёр; проводник|дирижёр (кондуктор = ticket inspector)|2026-04-02|learning||The **conductor** raised his baton.|He's a famous orchestra **conductor**.|Copper is a good **conductor** of electricity.
list|лист|список|список (лист = leaf/sheet)|2026-04-02|known|2026-04-09|I made a **list** of things to buy.|Her name wasn't on the **list**.|Check the **list** before you leave.
novel|новелла|роман|роман (новелла = novella/short story)|2026-04-02|learning||She's reading a detective **novel**.|He wrote his first **novel** at 25.|It's a long **novel** — over 500 pages.
paragraph|параграф|абзац|абзац (параграф = clause/section)|2026-04-02|learning||Read the first **paragraph** again.|Each **paragraph** has a topic sentence.|The answer is in the third **paragraph**.
patron|патрон|покровитель; постоянный клиент|покровитель (патрон = cartridge/boss)|2026-04-02|learning||She's a **patron** of the arts.|He's a regular **patron** of this cafe.|The museum thanked its **patrons**.
receipt|рецепт|квитанция; чек|квитанция (рецепт = recipe/prescription)|2026-04-02|learning||Keep the **receipt** in case you want a refund.|Can I have a **receipt**, please?|The **receipt** shows the date and amount.
replica|реплика|копия; точная модель|копия (реплика = remark/line)|2026-04-02|learning||The museum has a **replica** of the painting.|This is a **replica** of an ancient sword.|She bought a **replica** of the Eiffel Tower.
resume|резюме|возобновить (CV = резюме)|возобновить (резюме = CV)|2026-04-02|learning||We will **resume** the meeting after lunch.|The game **resumed** after the rain stopped.|She **resumed** her work after the break.
stamp|штамп|марка; печать|марка (штамп = rubber stamp)|2026-04-02|learning||I need a **stamp** for this letter.|She collects **stamps** from around the world.|Put a **stamp** on the envelope.
brilliant|бриллиант|блестящий; гениальный|блестящий (бриллиант = diamond)|2026-04-02|learning||That's a **brilliant** idea!|She's a **brilliant** scientist.|The sunset was **brilliant**.
insult|инсульт|оскорбление|оскорбление (инсульт = stroke)|2026-04-02|learning||His comment was a terrible **insult**.|She didn't mean to **insult** you.|He took it as a personal **insult**.
lunatic|лунатик|сумасшедший; безумец|сумасшедший (лунатик = sleepwalker)|2026-04-02|learning||He drives like a **lunatic**.|Only a **lunatic** would swim in this weather.|That was a **lunatic** decision.
pretend|претендовать|притворяться|притворяться (претендовать = claim/aspire)|2026-04-02|learning||Don't **pretend** you didn't hear me.|She **pretended** to be asleep.|He **pretends** to know everything.
realize|реализовать|осознать; понять|осознать (реализовать = implement/fulfil)|2026-04-02|learning||I didn't **realize** how late it was.|She **realized** her mistake immediately.|He finally **realized** the truth.
routine|рутина|распорядок; обычный|распорядок (рутина = boring routine)|2026-04-02|learning||What's your morning **routine**?|It was a **routine** check by the doctor.|She follows the same **routine** every day.
scholar|школьник|учёный; стипендиат|учёный (школьник = pupil/schoolchild)|2026-04-02|learning||He's a well-known **scholar** of history.|She won a **scholar**ship to Oxford.|The **scholars** published a new study.
speculate|спекулировать|предполагать; размышлять|предполагать (спекулировать = profiteer)|2026-04-02|learning||It's too early to **speculate** about the results.|The press **speculated** about the reason.|Don't **speculate** without evidence.
technique|техника|техника; метод; приём|метод (техника = technology/equipment)|2026-04-02|learning||She uses a special **technique** for painting.|This **technique** saves a lot of time.|He taught me a new cooking **technique**.
trace|трасса|след; отследить|след (трасса = track/highway)|2026-04-02|learning||There was no **trace** of the missing person.|Police **traced** the call to a mobile phone.|She found **traces** of paint on the floor.
